x,y,z,yaw,velocity,change_flag
-14771.9,-84778.1,47.3504,-2.26593,2.0000,0
-14773.1,-84779.9,47.4361,-2.07188,40.0000,0
-14773.3,-84782,47.536,-1.637,40.0000,0
-14772.6,-84784.2,47.6338,-1.23863,40.0000,0
-14771.4,-84786,47.6763,-1.04659,40.0000,0
-14769.7,-84787.8,47.7166,-0.92885,40.0000,0
-14768.2,-84789.3,47.7456,-0.904599,40.0000,0
-14766.4,-84791,47.7396,-0.88139,40.0000,0
-14764.4,-84792.7,47.7555,-0.885895,40.0000,0
-14762.9,-84794,47.7533,-0.889766,40.0000,0
-14760.9,-84795.8,47.7636,-0.889523,40.0000,0
-14759,-84797.6,47.7036,-0.890749,40.0000,0
-14757.5,-84798.9,47.713,-0.901805,40.0000,0
-14756,-84800.3,47.701,-0.921174,40.0000,0
-14754.5,-84801.8,47.6971,-0.944196,40.0000,0
-14753.1,-84803.3,47.6994,-0.961766,40.0000,0
-14751.7,-84804.8,47.6761,-0.983923,40.0000,0
-14750.3,-84806.3,47.6807,-1.00344,40.0000,0
-14749,-84807.9,47.6716,-1.0284,40.0000,0
-14747.8,-84809.4,47.6824,-1.05914,40.0000,0
-14746.3,-84811.5,47.658,-1.09895,40.0000,0
-14745,-84813.6,47.6528,-1.13544,40.0000,0
-14743.8,-84815.7,47.6583,-1.18452,40.0000,0
-14742.7,-84817.9,47.6652,-1.22348,40.0000,0
-14741.8,-84820.1,47.6693,-1.24788,40.0000,0
-14741,-84822,47.6547,-1.2377,40.0000,0
-14740.2,-84823.9,47.6337,-1.2014,40.0000,0
-14739.3,-84825.9,47.5684,-1.17685,40.0000,0
-14738.4,-84827.9,47.4181,-1.17611,40.0000,0
-14737.5,-84829.9,47.4613,-1.16584,40.0000,0
-14736.3,-84832.1,47.5156,-1.11279,40.0000,0
-14735.2,-84833.9,47.5643,-1.07092,40.0000,0
-14733.8,-84836,47.5966,-1.02354,40.0000,0
-14732.2,-84838.1,47.6849,-0.989504,40.0000,0
-14730.5,-84840.4,47.666,-0.972911,40.0000,0
-14728.6,-84842.8,47.6496,-0.977686,40.0000,0
-14727.4,-84844.5,47.6459,-0.97654,40.0000,0
-14726,-84846.1,47.6638,-0.978415,40.0000,0
-14724.7,-84847.8,47.6496,-0.982921,40.0000,0
-14723.4,-84849.6,47.6869,-0.986279,40.0000,0
-14722,-84851.3,47.6989,-0.991273,40.0000,0
-14720.8,-84853,47.7078,-1.00214,40.0000,0
-14719.5,-84854.8,47.7289,-1.01089,40.0000,0
-14718.3,-84856.5,47.7078,-1.02034,40.0000,0
-14717.1,-84858.2,47.7194,-1.02974,40.0000,0
-14716,-84859.9,47.7322,-1.03734,40.0000,0
-14714.8,-84861.6,47.754,-1.04552,40.0000,0
-14713.5,-84863.7,47.7603,-1.02327,40.0000,0
-14712.4,-84865.6,47.7359,-1.00627,40.0000,0
-14711.2,-84867.4,47.4669,-1.01248,40.0000,0
-14709.9,-84869.5,47.5615,-1.02154,40.0000,0
-14708.9,-84871.3,47.633,-1.02489,40.0000,0
-14707.7,-84873.3,47.6912,-1.0266,40.0000,0
-14706.3,-84875.6,47.747,-1.03256,40.0000,0
-14705.3,-84877.3,47.7674,-1.03371,40.0000,0
-14703.9,-84879.6,47.8375,-1.03663,40.0000,0
-14702.9,-84881.4,47.9034,-1.03986,40.0000,0
-14701.5,-84883.7,47.9308,-1.02106,40.0000,0
-14700.2,-84885.8,47.9778,-1.0227,40.0000,0
-14698.8,-84888.1,48.0421,-1.04844,40.0000,0
